,Product_name,Product_Description,Price_of_Product,Reviews_of_the_Product
11,"POCO X5 5G (Wildcat Blue, 256 GB)","SponsoredPOCO X5 5G (Wildcat Blue, 256 GB)4.213,135 Ratings & 980 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹14,999₹23,99937% offFree deliveryTop Discount of the SaleUpto ₹11,300 Off on Exchange","₹14,999","4.213,135 Ratings & 980 Reviews"
12,"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","OnePlus 10 Pro 5G (Volcanic Black, 128 GB)4.2452 Ratings & 30 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories₹48,999₹66,99926% offFree deliveryOnly few leftBank Offer","₹48,999",4.2452 Ratings & 30 Reviews
13,"OPPO Reno8 Pro 5G (Glazed Green, 256 GB)","OPPO Reno8 Pro 5G (Glazed Green, 256 GB)4.42,498 Ratings & 283 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 8100 Max Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹45,999₹52,99913% off","₹45,999","4.42,498 Ratings & 283 Reviews"
14,"OnePlus 10T 5G (Jade Green, 128 GB)","OnePlus 10T 5G (Jade Green, 128 GB)4.3254 Ratings & 18 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone, 6 months on accessories₹45,989₹49,9998% offFree deliveryOnly 1 leftBank Offer","₹45,989",4.3254 Ratings & 18 Reviews
15,"vivo X70 Pro (Aurora Dawn, 256 GB)","vivo X70 Pro (Aurora Dawn, 256 GB)4.53,827 Ratings & 691 Reviews8 GB RAM | 256 GB ROM16.66 cm (6.56 inch) Full HD+ Display50MP + 12MP + 12MP + 8MP | 32MP Front Camera4450 mAh BatteryMediaTek Dimensity 1200 Processor1 Year for Handset and 6 Months for In-box Accessories₹45,999₹54,99016% offFree deliveryBig Saving DealOnly 1 left","₹45,999","4.53,827 Ratings & 691 Reviews"
16,"POCO X5 5G (Jaguar Black, 256 GB)","SponsoredPOCO X5 5G (Jaguar Black, 256 GB)4.213,135 Ratings & 980 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹14,999₹23,99937% offFree deliveryTop Discount of the SaleUpto ₹11,300 Off on Exchange","₹14,999","4.213,135 Ratings & 980 Reviews"
17,"APPLE iPhone 6 Plus (Silver, 64 GB)","APPLE iPhone 6 Plus (Silver, 64 GB)4.51,674 Ratings & 199 Reviews64 GB ROM13.97 cm (5.5 inch) Retina HD Display8MP Rear Camera | 1.2MP Front CameraA8 Chip with 64-bit Architecture and M8 Motion Co-processor1 Year Manufacturer Warranty₹48,999₹71,50031% offFree deliveryOnly 2 leftUpto ₹42,000 Off on Exchange","₹48,999","4.51,674 Ratings & 199 Reviews"
18,"OnePlus 10T 5G (Moonstone Black, 256 GB)","OnePlus 10T 5G (Moonstone Black, 256 GB)4.1180 Ratings & 14 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone & 6 months on accessories₹48,998₹54,99910% offFree deliveryOnly 1 leftBank Offer","₹48,998",4.1180 Ratings & 14 Reviews
19,"OnePlus 10T 5G (Jade Green, 256 GB)","OnePlus 10T 5G (Jade Green, 256 GB)4.1180 Ratings & 14 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase₹48,990₹54,99910% offFree deliveryOnly 1 leftBank Offer","₹48,990",4.1180 Ratings & 14 Reviews
20,"vivo X60 (Midnight Black, 256 GB)","vivo X60 (Midnight Black, 256 GB)4.41,090 Ratings & 138 Reviews12 GB RAM | 256 GB ROM16.66 cm (6.56 inch) Full HD+ Display48MP + 13MP + 13MP | 32MP Front Camera4300 mAh Lithium-ion BatteryQualcomm Snapdragon 870 ProcessorAMOLED Display1 Year for Handset and 6 Months for In-box Accessories₹46,990","₹46,990","4.41,090 Ratings & 138 Reviews"
